10	17.2	14	75	50	11	4	M10	12	18	15
15	21.3	18	80	55	11	4	M10	12	22.5	19
20	26.9	25	90	65	11	4	M10	14	27.5	26
25	33.7	32	100	75	11	4	M10	14	34.5	33
32	42.4	38	120	90	14	4	M12	16	43.5	39
40	48.3	45	130	100	14	4	M12	16	49.5	46
50	60.3	57	140	110	14	4	M12	16	61.5	59
65	76.1	76	160	130	14	4	M12	16	77.5	78
80	88.9	89	190	150	18	4	M16	18	90.5	91
100	114.3	108	210	170	18	4	M16	18	116	110
125	139.7	133	240	200	18	8	M16	20	143.5	135
150	168.3	159	265	225	18	8	M16	20	170.5	161
200	219.1	219	320	280	18	8	M16	22	221.5	222
250	273	273	375	335	18	12	M16	24	276.5	276
300	323.9	325	440	395	22	12	M20	24	328	328
350	355.6	377	490	445	22	12	M20	26	360	381
400	406.4	426	540	495	22	16	M20	28	411	430
450	457	480	595	550	22	16	M20	30	462	485
500	508	530	645	600	22	20	M20	30	513.5	535
600	610	630	755	705	26	20	M24	32	616.5	636
700	711	720	860	810	26	24	M24	36	715	724
800	813	820	975	920	30	24	M27	38	817	824
900	914	920	1075	1020	30	24	M27	40	918	924
1000	1016	1020	1175	1120	30	28	M27	42	1020	1024
1200	1219	1220	1875	1320	30	32	M27	44	1223	1224
1400	1422	1420	1575	1520	30	36	M27	48	1426	1424
1600	1626	1620	1790	1730	30	40	M27	51	1630	1624
1800	1829	1820	1990	1930	30	44	M27	54	1833	1824
2000	2032	2020	2190	2130	30	48	M27	58	2036	2024
