10	17.2	14	90	60	14	4	M12	14	18	15	6
15	21.3	18	95	65	14	4	M12	14	22.5	19	4
20	26.9	25	105	75	14	4	M12	16	27.5	26	4
25	33.7	32	115	85	14	4	M12	16	34.5	33	5
32	42.4	38	140	100	18	4	M16	18	43.	33	5
40	48.3	45	150	110	18	4	M16	18	49.5	46	5
50	60.3	57	165	125	18	4	M16	20	61.5	59	5
65	76.1	76	185	145	18	8	M16	22	77.5	78	6
80	88.9	89	200	160	18	8	M16	24	90.5	91	6
100	114.3	108	235	190	22	8	M20	26	116	110	6
125	139.7	133	270	220	26	8	M24	28	143.5	135	6
150	168.3	159	330	250	26	8	M24	30	170.5	161	6
200	219.1	219	360	310	26	12	M24	32	221.5	222	8
250	273	273	425	370	30	12	M27	35	276.5	276	10
300	323.9	325	485	430	30	16	M27	38	328	328	11
350	355.6	377	555	490	33	16	M30	42	360	381	12
400	406.4	426	620	550	36	16	M33	46	411	430	12
450	457	480	670	600	36	20	M33	50	462	485	12
500	508	530	730	660	36	20	M33	56	513.5	535	12
600	610	630	845	770	39	20	M36	68	616.5	636	12
