10	17.2	14	90	60	14	4	M12	16	28	28	1.8	6	4	35
15	21.3	18	95	65	14	4	M12	16	32	32	2.0	6	4	38
20	26.9	25	105	75	14	4	M12	18	40	40	2.3	6	4	40
25	33.7	32	115	85	14	4	M12	18	46	46	2.6	6	4	40
32	42.4	38	140	100	18	4	M16	18	56	56	2.6	6	6	42
40	48.3	45	150	110	18	4	M16	18	64	64	2.6	7	6	45
50	60.3	57	165	125	18	4	M16	20	75	75	2.9	8	6	48
65	76.1	76	185	145	18	8	M16	22	90	90	2.9	10	6	52
80	88.9	89	200	160	18	8	M16	24	105	105	3.2	12	8	58
100	114.3	108	235	190	22	8	M20	24	134	134	3.6	12	8	65
125	139.7	133	270	220	26	8	M24	26	162	162	4.0	12	8	68
150	168.3	159	300	250	26	8	M24	28	192	190	4.5	12	10	75
200	219.1	219	360	310	26	12	M24	30	244	244	6.3	16	10	80
250	273	273	425	370	30	12	M27	32	298	298	7.1	18	12	88
300	323.9	325	485	430	30	16	M27	34	352	352	8.0	18	12	92
350	355.6	377	555	490	33	16	M30	38	398	420	8.0	20	12	100
400	406.4	426	620	550	36	16	M33	40	452	472	8.8	20	12	110
450	457	480	670	600	36	20	M33	46	500	522	8.8	20	12	110
500	508	530	730	660	36	20	M33	48	558	580	10	20	12	125
600	610	630	845	770	39	20	M36¡Á3	58	660	680	11	20	12	125
