10	0.6	0.5	0.5	0.5	0.5	0.5	0.04	0.5	0.09	1.0	-	-	-
15	0.5	0.5	1.0	0.5	0.5	0.5	0.06	0.5	0.11	1.0	-	-	-
20	1.0	1.0	1.0	1.0	1.0	1.0	0.09	1.0	0.23	1.0	-	-	-
25	1.0	1.5	1.0	1.5	1.5	1.0	0.14	1.0	0.30	1.5	-	-	-
32	2.0	2.0	2.0	2.0	2.0	2.0	0.18	2.0	0.36	2.0	-	-	-
40	2.0	2.0	2.0	2.0	2.0	2.0	0.22	2.0	0.46	2.5	2.4	0.13	0.43
50	2.5	2.5	2.5	2.5	2.5	2.5	0.32	2.5	0.65	3.0	3.2	0.18	0.6
65	3.0	3.0	3.0	-	3.0	3.0	0.41	3.0	0.88	3.5	4.1	0.26	0.87
80	3.5	4.0	4.0	-	4.0	3.5	0.56	3.5	1.07	4.5	4.6	0.33	1.11
100	4.5	4.5	4.5	-	4.5	4.5	0.78	4.5	1.28	5.5	6.2	0.45	1.5
125	5.5	6.5	6.5	-	6.5	5.5	1.13	5.5	1.64	8.0	8.2	0.63	2.09
150	7.0	7.5	7.5	-	7.5	7.0	1.46	7.0	1.96	10.5	11.4	0.82	2.72
200	9.5	10.5	11.5	-	-	9.0	2.98	9.0	2.81	16.5	16.5	1.74	4.36
250	12.0	13.0	15.5	-	-	11.5	3.90	11.5	3.52	24.0	24.1	2.52	6.31
300	13.5	15.0	18.0	-	-	13.0	5.17	13.0	3.89	31.0	30.8	4.22	8.44
350	20.5	-	24.5	-	-	19.5	6.71	19.5	7.50	39.5	39.6	5.64	11.3
400	27.5	-	29.5	-	-	26.5	7.97	26.5	9.38	49.5	49.4	7.1	14.2
450	33.5	-	34.0	-	-	32.5	8.92	32.5	10.30	63.0	62.9	8.65	17.3
500	40.0	-	39.5	-	-	39.0	10.26	39.0	12.59	75.5	75.1	12.5	20.9
600	54.5	-	56.0	-	-	52.5	12.70	52.5	14.29	124.0	123.7	17.2	28.7
700	-	-	65.0	-	-	-	-	-	-	182.5	-	-	-
800	-	-	87.0	-	-	-	-	-	-	260.0	-	-	-
900	-	-	106.0	-	-	-	-	-	-	344.0	-	-	-
1000	-	-	123.0	-	-	-	-	-	-	473.5	-	-	-
1200	-	-	184.0	-	-	-	-	-	-	765.0	-	-	-
1400	-	-	252.0	-	-	-	-	-	-	-	-	-	-
1600	-	-	252.0	-	-	-	-	-	-	-	-	-	-
1800	-	-	445.5	-	-	-	-	-	-	-	-	-	-
2000	-	-	558.0	-	-	-	-	-	-	-	-	-	-
