10	0.6	0.5	0.5	0.5	0.5	0.5	0.04	1.0	-	-	-
15	0.5	0.5	1.0	0.5	0.5	0.5	0.06	1.0	-	-	-
20	1.0	1.0	1.0	1.0	1.0	1.0	0.09	1.0	-	-	-
25	1.0	1.5	1.0	1.5	1.5	1.0	0.14	1.5	-	-	-
32	2.0	2.0	2.0	2.0	2.0	2.0	0.18	2.0	-	-	-
40	2.0	2.0	2.0	2.0	2.0	2.0	0.22	2.5	2.4	0.13	0.43
50	2.5	3.0	3.0	3.0	3.0	2.5	0.32	3.0	3.24	0.18	0.60
65	3.5	4.0	4.0	-	4.0	3.5	0.43	4.5	4.3	0.26	0.87
80	4.5	4.5	5.0	-	4.5	4.0	0.61	5.5	5.6	0.33	1.11
100	6.0	6.5	6.5	-	6.5	6.0	0.93	7.5	7.6	0.47	1.58
125	8.0	8.5	9.0	-	8.5	8.0	1.30	11.0	10.8	0.64	2.13
150	10.5	11.0	11.5	-	11.0	10.0	1.90	14.5	14.6	0.86	2.88
200	14.5	15.0	17.0	-	-	14.0	3.78	22.5	22.5	1.88	4.69
250	20.0	21.0	24.0	-	-	19.5	5.75	33.5	33.5	2.72	6.79
300	26.5	28.0	31.5	-	-	26.0	8.25	46.5	46.3	4.69	9.37
350	42.0	46.5	48.0	-	-	41.0	10.61	68.0	68.0	6.16	12.3
400	55.0	59.5	63.0	-	-	54.0	14.37	89.5	89.6	7.70	15.4
450	64.5	71.5	75.7	-	-	63.0	16.08	120.0	119.9	9.32	18.6
500	84.0	89.5	96.5	-	-	82.0	22.76	150.0	150.0	13.8	22.9
600	127.5	139.5	138.6	-	-	124.5	30.23	244.5	244.3	19.1	31.8
