10	0.5	0.5	0.5	0.5	0.03	0.5	0.06	0.5	-	-
15	0.5	0.5	0.5	0.5	0.04	0.5	0.07	0.5	-	-
20	0.5	0.5	0.5	0.57	0.07	0.57	0.11	0.5	-	-
25	0.5	1.0	0.5	0.5	0.11	0.5	0.15	1.0	-	-
32	1.0	1.0	0.5	1.0	0.14	1.0	0.19	1.0	-	-
40	1.5	1.5	0.5	1.5	0.18	1.5	0.24	1.5	1.6	0.11
50	1.5	1.5	0.5	1.5	0.24	1.5	0.32	1.5	1.9	0.14
65	2.0	2.0	0.5	2.0	0.31	2.0	0.45	2.0	2.5	0.22
80	3.0	3.0	0.5	3.0	0.45	3.0	0.61	3.5	3.9	0.28
100	3.5	3.0	1.0	3.0	0.64	3.0	0.73	4.0	4.8	0.38
125	4.5	4.5	1.0	4.0	0.94	4.0	0.96	6.0	6.1	0.56
150	5.0	5.0	1.0	4.5	1.22	4.5	1.01	7.5	5.4	0.73
200	7.0	7.0	1.5	6.5	2.54	6.5	1.73	12.5	13.5	1.59
250	9.0	9.0	-	8.5	3.37	8.5	2.32	18.5	20.2	2.35
300	12.0	12.0	-	11.5	4.68	11.5	2.77	25.5	27.8	4.06
350	17.0	-	-	16.0	5.79	16.0	4.73	32.0	34.7	5.26
400	20.0	-	-	19.0	6.78	19.0	5.83	38.5	42.0	6.60
450	24.5	-	-	23.5	7.81	23.5	7.02	51.0	51.2	8.27
500	26.5	-	-	25.5	8.89	25.5	8.30	60.03	65.1	11.9
600	35.0	-	-	33.5	10.75	33.5	9.34	103.0	102.9	16.4
700	35.0	-	-	-	-	-	-	178.5	-	-
800	75.0	-	-	-	-	-	-	252.0	-	-
900	89.5	-	-	-	-	-	-	335.5	-	-
1000	104.0	-	-	-	-	-	-	434.5	-	-
1200	166.0	-	-	-	-	-	-	717.5	-	-
1400	242.5	-	-	-	-	-	-	1094.0	-	-
1600	328.5	-	-	-	-	-	-	1545.0	-	-
1800	417.5	-	-	-	-	-	-	2131.0	-	-
2000	533.0	-	-	-	-	-	-	2862.0	-	-
